route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_sort_order,direction0_name,direction1_name,route_group
38,OPTYMO_SUB,38,Beaucourt - Delle,3,B4B1A8,FFFFFF,,Beaucourt,Delle,
39,OPTYMO_SUB,39,Botans - Bavilliers,3,6A5841,FFFFFF,,Bavilliers,Botans,
40,OPTYMO_SUB,40,Etueffont - Auxelles-Bas,3,B4B1A8,FFFFFF,,Etueffont,Auxelles-Bas,
41,OPTYMO_SUB,41,AP 90,3,B4B1A8,FFFFFF,,,,
51,OPTYMO_SUB,51,Lycées Belfort - Ligne A,3,A1A1A1,000000,,,,Services scolaires
53,OPTYMO_SUB,53,Rougemont le Château - Colucci - Ligne C,3,A1A1A1,000000,,,,Services scolaires
57,OPTYMO_SUB,57,Valdoie - Goscinny / Belfort - Courbet - Ligne G,3,A1A1A1,000000,,,,Services scolaires
60,OPTYMO_SUB,60,Giromagny - Rosemont - Ligne J,3,A1A1A1,000000,,,,Services scolaires
61,OPTYMO_SUB,61,Lycée Courbet - Ligne K,3,A1A1A1,000000,,,,Services scolaires
62,OPTYMO_SUB,62,Lycées Belfort - Ligne L,3,A1A1A1,000000,,,,Services scolaires
63,OPTYMO_SUB,63,Lycées Belfort - Ligne M,3,A1A1A1,000000,,,,Services scolaires
64,OPTYMO_SUB,64,Morvillars - Lucie Aubrac - Ligne N,3,A1A1A1,000000,,,,Services scolaires
66,OPTYMO_SUB,66,Delle - Cité Scolaire - Ligne P,3,A1A1A1,000000,,,,Services scolaires
67,OPTYMO_SUB,67,Danjoutin - Mozart - Ligne Q,3,A1A1A1,000000,,,,Services scolaires
68,OPTYMO_SUB,68,Lycées Belfort - Ligne R,3,A1A1A1,000000,,,,Services scolaires
70,OPTYMO_SUB,70,Montreux Château - Camille Claudel - Ligne T,3,A1A1A1,000000,,,,Services scolaires
71,OPTYMO_SUB,71,Beaucourt - St Exupéry - Ligne U,3,A1A1A1,000000,,,,Services scolaires
72,OPTYMO_SUB,72,Belfort - Vauban - Ligne V,3,A1A1A1,000000,,,,Services scolaires
90,OPTYMO_SUB,90,Giromagny - Belfort Gare,3,70ACAD,FFFFFF,,Belfort Gare,Giromagny,
91,OPTYMO_SUB,91,Rougemont - Belfort Gare (via Etueffont),3,6B76AD,FFFFFF,,Belfort Gare,Rougemont,
92,OPTYMO_SUB,92,Montreux - Belfort Gare (via Fontaine),3,EFA974,FFFFFF,,Belfort Gare,Montreux-Château,
93,OPTYMO_SUB,93,Beaucourt - Gare TGV (via Delle),3,977FB3,FFFFFF,,Gare TGV par Delle,Beaucourt par Delle,
56,OPTYMO_SUB,BB,Bus du Ballon,0,1F62B0,FFFFFF,,,,
19,OPTYMO_URB,Nautibus,Valdoie - Malsaucy,3,00AEEF,FFFFFF,,Malsaucy,Valdoie,
55,OPTYMO_SUB,X,Belfort - Montbéliard,3,9A61B9,FFFFFF,,Belfort,Montbéliard,
